======================================================================
QWEN3-8B-BASE — MT — Full 36-layer LR probe accuracy
(reconstructed from probing job log; SST-2/MRPC/MT probing jobs 9913310/9913311/9914077)
======================================================================

Baseline zero-shot: 51.70%

Layer  Accuracy   Δ baseline
  L 0    50.60%     -1.10%
  L 1    49.10%     -2.60%
  L 2    47.30%     -4.40%
  L 3    47.70%     -4.00%
  L 4    49.00%     -2.70%
  L 5    48.00%     -3.70%
  L 6    46.80%     -4.90%
  L 7    48.80%     -2.90%
  L 8    49.70%     -2.00%
  L 9    48.60%     -3.10%
  L10    50.00%     -1.70%
  L11    49.70%     -2.00%
  L12    50.30%     -1.40%
  L13    50.50%     -1.20%
  L14    54.00%     +2.30%
  L15    54.30%     +2.60%
  L16    52.40%     +0.70%
  L17    52.50%     +0.80%
  L18    53.00%     +1.30%
  L19    54.00%     +2.30%
  L20    54.50%     +2.80%
  L21    52.20%     +0.50%
  L22    50.80%     -0.90%
  L23    50.80%     -0.90%
  L24    50.30%     -1.40%
  L25    51.50%     -0.20%
  L26    50.20%     -1.50%
  L27    51.10%     -0.60%
  L28    50.20%     -1.50%
  L29    50.20%     -1.50%
  L30    50.20%     -1.50%
  L31    49.50%     -2.20%
  L32    48.80%     -2.90%
  L33    50.90%     -0.80%
  L34    53.10%     +1.40%
  L35    49.10%     -2.60%
